x,y
292.86,425.0
294.76,425.9
296.65,427.0
298.54,427.9
300.43,429.1
302.38,429.6
304.36,431.1
306.35,431.9
308.34,433.1
310.33,434.0
312.32,435.1
314.31,436.3
316.30,437.1
318.29,438.3
320.27,439.1
322.26,440.6
324.25,441.4
326.24,442.6
328.22,443.8
330.20,444.6
332.19,445.8
334.17,446.9
336.15,447.8
338.13,448.9
340.11,449.8
342.09,451.0
344.07,452.1
346.05,453.3
348.03,454.3
350.00,455.5
351.98,456.3
353.96,457.8
355.94,458.6
357.92,459.5
359.89,460.7
361.87,462.1
363.84,463.0
365.81,464.1
367.78,465.0
