1,2,3,4,5,6,7,8,9,10,11
270.00,304.20,,379.00,292.86,348.17,283.15,293.15,293.15,294.15,293.15
275.00,308.20,,382.00,294.76,353.13,288.15,295.65,295.65,295.15,294.15
280.00,312.20,,383.00,296.65,358.15,293.15,298.15,298.15,296.15,295.15
285.00,316.20,,385.00,298.54,363.15,298.15,300.65,300.65,297.15,296.15
290.00,320.20,,387.00,300.43,368.15,303.15,303.15,303.15,298.15,297.15
295.00,324.20,,390.00,302.38,373.14,308.15,305.65,305.65,299.15,298.15
300.00,328.20,,392.00,304.36,378.12,313.15,308.15,308.15,300.15,299.15
305.00,332.20,,394.00,306.35,383.16,318.15,310.65,310.65,301.15,300.15
310.00,336.20,,396.00,308.34,388.15,323.15,313.15,313.15,302.15,301.15
315.00,340.20,,398.00,310.33,393.13,328.15,315.65,315.65,303.15,302.15
320.00,344.20,,400.00,312.32,398.17,333.15,318.15,318.15,304.15,303.15
325.00,348.20,,402.00,314.31,403.14,338.15,320.65,320.65,305.15,304.15
330.00,352.20,,,316.30,408.18,343.15,323.15,323.15,306.15,305.15
335.00,356.20,,,318.29,413.15,348.15,,,307.15,306.15
340.00,360.20,,,320.27,418.18,353.15,,,308.15,307.15
345.00,364.20,,,322.26,423.14,358.15,,,309.15,308.15
350.00,368.20,,,324.25,,,,,310.15,309.15
,372.20,,,326.24,,,,,311.15,310.15
,,,,328.22,,,,,312.15,311.15
,,,,330.20,,,,,313.15,312.15
,,,,332.19,,,,,314.15,313.15
,,,,334.17,,,,,315.15,314.15
,,,,336.15,,,,,316.15,315.15
,,,,338.13,,,,,317.15,316.15
,,,,340.11,,,,,318.15,317.15
,,,,342.09,,,,,319.15,318.15
,,,,344.07,,,,,320.15,319.15
,,,,346.05,,,,,321.15,320.15
,,,,348.03,,,,,322.15,321.15
,,,,350.00,,,,,323.15,322.15
,,,,351.98,,,,,324.15,323.15
,,,,353.96,,,,,325.15,324.15
,,,,355.94,,,,,326.15,325.15
,,,,357.92,,,,,327.15,326.15
,,,,359.89,,,,,328.15,327.15
,,,,361.87,,,,,329.15,328.15
,,,,363.84,,,,,330.15,329.15
,,,,365.81,,,,,331.15,330.15
,,,,367.78,,,,,332.15,331.15
,,,,,,,,,333.15,332.15
,,,,,,,,,334.15,333.15
,,,,,,,,,335.15,334.15
,,,,,,,,,336.15,335.15
,,,,,,,,,337.15,336.15
,,,,,,,,,338.15,337.15
,,,,,,,,,339.15,338.15
,,,,,,,,,340.15,339.15
,,,,,,,,,341.15,340.15
,,,,,,,,,342.15,341.15
,,,,,,,,,343.15,342.15
,,,,,,,,,344.15,343.15
,,,,,,,,,345.15,
,,,,,,,,,346.15,
,,,,,,,,,347.15,
,,,,,,,,,348.15,
