1,2,3,4,5,6,7,8,9,10,11
278.0,320.0,,379.0,425.0,599.0,502.3,567.0,592.0,624.0,700.0
280.0,321.0,,382.0,425.9,601.0,504.6,568.0,594.0,625.0,701.0
281.0,323.0,,383.0,427.0,605.0,506.9,570.0,596.0,626.0,702.0
282.0,324.0,,385.0,427.9,610.0,509.2,571.0,597.0,626.0,703.0
283.0,326.0,,387.0,429.1,616.0,511.5,572.0,599.0,627.0,704.0
284.0,327.0,,390.0,429.6,617.0,513.8,574.0,600.0,628.0,704.0
286.0,329.0,,392.0,431.1,621.0,516.1,575.0,602.0,628.0,705.0
288.0,331.0,,394.0,431.9,626.0,518.5,576.0,604.0,629.0,706.0
289.0,334.0,,396.0,433.1,631.0,520.9,578.0,605.0,629.0,706.0
290.0,336.0,,398.0,434.0,636.0,523.3,579.0,607.0,630.0,707.0
292.0,339.0,,400.0,435.1,639.0,525.7,581.0,609.0,631.0,708.0
293.0,341.0,,402.0,436.3,642.0,528.1,582.0,610.0,631.0,709.0
294.0,344.0,,,437.1,644.0,530.5,584.0,612.0,632.0,709.0
296.0,347.0,,,438.3,647.0,533.0,,,633.0,710.0
297.0,350.0,,,439.1,649.0,535.5,,,633.0,711.0
298.0,353.0,,,440.6,651.0,538.0,,,634.0,712.0
300.0,357.0,,,441.4,,,,,635.0,712.0
,360.0,,,442.6,,,,,635.0,713.0
,,,,443.8,,,,,636.0,714.0
,,,,444.6,,,,,637.0,715.0
,,,,445.8,,,,,637.0,715.0
,,,,446.9,,,,,638.0,716.0
,,,,447.8,,,,,639.0,717.0
,,,,448.9,,,,,639.0,718.0
,,,,449.8,,,,,640.0,719.0
,,,,451.0,,,,,641.0,719.0
,,,,452.1,,,,,641.0,720.0
,,,,453.3,,,,,642.0,720.0
,,,,454.3,,,,,643.0,722.0
,,,,455.5,,,,,644.0,722.0
,,,,456.3,,,,,644.0,723.0
,,,,457.8,,,,,645.0,724.0
,,,,458.6,,,,,645.0,725.0
,,,,459.5,,,,,646.0,725.0
,,,,460.7,,,,,647.0,726.0
,,,,462.1,,,,,647.0,727.0
,,,,463.0,,,,,648.0,728.0
,,,,464.1,,,,,649.0,728.0
,,,,465.0,,,,,649.0,730.0
,,,,,,,,,650.0,730.0
,,,,,,,,,651.0,730.0
,,,,,,,,,651.0,731.0
,,,,,,,,,652.0,731.0
,,,,,,,,,652.0,733.0
,,,,,,,,,653.0,733.0
,,,,,,,,,654.0,734.0
,,,,,,,,,654.0,735.0
,,,,,,,,,655.0,735.0
,,,,,,,,,655.0,736.0
,,,,,,,,,656.0,737.0
,,,,,,,,,657.0,738.0
,,,,,,,,,657.0,
,,,,,,,,,658.0,
,,,,,,,,,658.0,
,,,,,,,,,659.0,
