1,2,3,4,5,6,7,8,9,10,11
293.15,288.15,288.15,278.15,293.15,,293.15,293.15,287.93,288.15,288.22
298.15,293.15,293.15,288.15,298.15,,298.15,298.15,293.19,293.15,289.19
303.15,298.15,298.15,298.15,303.15,,303.15,303.15,298.18,298.15,293.19
308.15,303.15,303.15,308.15,308.15,,308.15,308.15,303.15,303.15,298.11
313.15,308.15,308.15,318.15,313.15,,313.15,313.15,308.11,308.15,302.34
318.15,313.15,313.15,328.15,318.15,,318.15,318.15,313.08,313.15,308.25
323.15,318.15,318.15,338.15,323.15,,323.15,323.15,318.35,318.15,313.25
328.15,,,,328.15,,328.15,328.15,,323.15,318.24
333.15,,,,333.15,,333.15,333.15,,328.15,323.28
338.15,,,,338.15,,338.15,338.15,,333.15,
343.15,,,,343.15,,343.15,343.15,,338.15,
,,,,,,,,,343.15,
