1,2,3,4,5,6,7,8,9,10,11
1863.2,1792.5,1697.3,1482.2,1403.0,,1251.0,1239.0,1249.7,1249.1,1259.2
1850.9,1778.6,1683.0,1458.3,1391.0,,1240.0,1228.0,1237.6,1237.5,1256.7
1838.9,1767.5,1669.2,1435.6,1380.0,,1229.0,1217.0,1226.2,1226.0,1246.5
1827.0,1755.3,1654.3,1413.2,1369.0,,1218.0,1207.0,1215.1,1214.7,1234.2
1815.3,1743.4,1640.9,1391.3,1358.0,,1208.0,1196.0,1204.1,1203.6,1223.9
1803.7,1732.1,1627.0,1369.7,1347.0,,1197.0,1185.0,1193.1,1192.6,1209.9
1792.2,1723.2,1613.4,1348.5,1336.0,,1187.0,1174.0,1181.7,1181.6,1198.2
1780.9,,,,1326.0,,1176.0,1164.0,,1170.9,1186.7
1769.7,,,,1315.0,,1166.0,1154.0,,1160.2,1175.2
1758.7,,,,1305.0,,1156.0,1143.0,,1149.7,
1747.7,,,,1294.0,,1146.0,1133.0,,1139.2,
,,,,,,,,,1129.0,
