Clapeyron Database File,
Joback Groups [csvtype = groups,grouptype = Joback]
species,groups
etane,"[""-CH3"" => 2]"
water,"[""H2O"" => 1]"
propane,"[""-CH3"" => 2,""-CH2-"" => 1]"
butane,"[""-CH3"" => 2,""-CH2-"" => 2]"
pentane,"[""-CH3"" => 2,""-CH2-"" => 3]"
hexane,"[""-CH3"" => 2,""-CH2-"" => 4]"
heptane,"[""-CH3"" => 2, ""-CH2-"" => 5]"
octane,"[""-CH3"" => 2, ""-CH2-"" => 6]"
nonane,"[""-CH3"" => 2, ""-CH2-"" => 7]"
decane,"[""-CH3"" => 2, ""-CH2-"" => 8]"
pentadecane,"[""-CH3"" => 2, ""-CH2-"" => 13]"
eicosane,"[""-CH3"" => 2, ""-CH2-"" => 18]"
pentacosane,"[""-CH3"" => 2, ""-CH2-"" => 23]"
triacontane,"[""-CH3"" => 2, ""-CH2-"" => 28]"
methanol,"[""-CH3"" => 1, ""-OH (alcohol)"" => 1]"
ethanol,"[""-CH3"" => 1,""-CH2-"" => 1, ""-OH (alcohol)"" => 1]"
acetone,"[""-CH3"" => 2,"">C=O (non-ring)""=>1]"

C2MIMTF2N_old,"[""-CH3"" => 2,""-CH2-"" => 1,""ring=CH-"" => 3,""-N= (ring)"" => 2,"">C<"" => 2,"">N- (non-ring)"" => 1,""-F"" => 6,""-S- (non-ring)"" => 2,""=O (other than above)"" => 4]"
C2MIMTF2N_2B_old,"[""-CH3"" => 2,""-CH2-"" => 1,""ring=CH-"" => 3,""-N= (ring)"" => 2,"">C<"" => 2,"">N- (non-ring)"" => 1,""-F"" => 6,""-S- (non-ring)"" => 2,""=O (other than above)"" => 4]"

C2MIMSCN_NA,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 1,""-S- (non-ring)"" => 1,""-CN"" => 1]"
C4MIMSCN_NA,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 3,""-S- (non-ring)"" => 1,""-CN"" => 1]"
C6MIMSCN_NA,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 5,""-S- (non-ring)"" => 1,""-CN"" => 1]"
C2MIMTFO_NA,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 1,"">C<"" => 1,""-F"" => 3,""-O- (non-ring)"" => 1,""-S- (non-ring)"" => 1,""=O (other than above)"" => 2]"
C4MIMTFO_NA,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 3,"">C<"" => 1,""-F"" => 3,""-O- (non-ring)"" => 1,""-S- (non-ring)"" => 1,""=O (other than above)"" => 2]"
C8MIMTFO_NA,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 7,"">C<"" => 1,""-F"" => 3,""-O- (non-ring)"" => 1,""-S- (non-ring)"" => 1,""=O (other than above)"" => 2]"
C2MIMTF2N_NA,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 1,"">C<"" => 2,""-F"" => 6,"">N- (non-ring)"" => 1,""-S- (non-ring)"" => 2,""=O (other than above)"" => 4]"
C4MIMTF2N_NA,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 3,"">C<"" => 2,""-F"" => 6,"">N- (non-ring)"" => 1,""-S- (non-ring)"" => 2,""=O (other than above)"" => 4]"
C5MIMTF2N_NA,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 4,"">C<"" => 2,""-F"" => 6,"">N- (non-ring)"" => 1,""-S- (non-ring)"" => 2,""=O (other than above)"" => 4]"
C6MIMTF2N_NA,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 5,"">C<"" => 2,""-F"" => 6,"">N- (non-ring)"" => 1,""-S- (non-ring)"" => 2,""=O (other than above)"" => 4]"
C8MIMTF2N_NA,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 7,"">C<"" => 2,""-F"" => 6,"">N- (non-ring)"" => 1,""-S- (non-ring)"" => 2,""=O (other than above)"" => 4]"

C2MIMSCN_2B,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 1,""-S- (non-ring)"" => 1,""-CN"" => 1]"
C4MIMSCN_2B,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 3,""-S- (non-ring)"" => 1,""-CN"" => 1]"
C6MIMSCN_2B,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 5,""-S- (non-ring)"" => 1,""-CN"" => 1]"
C2MIMTFO_2B,"[""ring=CH-"" => 3,""-N= (ring)"" => 2,""-CH3"" => 2,""-CH2-"" => 1,"">C<"" => 1,""-F"" => 3,""-O- (non-ring)"" => 1,""-S- (non-ring)"" => 1,""=O (other than above)"" => 2]"
