Clapeyron Database File,,,,,,,,
SaftVRMie Assoc Parameters,,,,,,,,
species1,SMILES1,site1,species2,SMILES2,site2,epsilon_assoc,bondvol,source

C2MIMBF4_2B,,H,C2MIMBF4_2B,,e,2250,3.45E-27,literature
C4MIMBF4_2B,,H,C4MIMBF4_2B,,e,2250,3.45E-27,literature
C4MIMPF6_2B,,H,C4MIMPF6_2B,,e,2250,3.45E-27,literature
C6MIMBF4_2B,,H,C6MIMBF4_2B,,e,2250,3.45E-27,literature
C6MIMPF6_2B,,H,C6MIMPF6_2B,,e,2250,3.45E-27,literature
C8MIMBF4_2B,,H,C8MIMBF4_2B,,e,2250,3.45E-27,literature
C8MIMPF6_2B,,H,C8MIMPF6_2B,,e,2250,3.45E-27,literature

C2MIMBF4,,H,C2MIMBF4,,e,2250,3.45E-27,literature
C4MIMBF4,,H,C4MIMBF4,,e,2250,3.45E-27,literature
C4MIMPF6,,H,C4MIMPF6,,e,2250,3.45E-27,literature
C6MIMBF4,,H,C6MIMBF4,,e,2250,3.45E-27,literature
C6MIMPF6,,H,C6MIMPF6,,e,2250,3.45E-27,literature
C8MIMBF4,,H,C8MIMBF4,,e,2250,3.45E-27,literature
C8MIMPF6,,H,C8MIMPF6,,e,2250,3.45E-27,literature

C2MIMSCN_2B,,H,C2MIMSCN_2B,,e,2250,3.45E-27,literature
C4MIMSCN_2B,,H,C4MIMSCN_2B,,e,2250,3.45E-27,literature
C6MIMSCN_2B,,H,C6MIMSCN_2B,,e,2250,3.45E-27,literature
C2MIMTFO_2B,,H,C2MIMTFO_2B,,e,2250,3.45E-27,literature
C4MIMTFO_2B,,H,C4MIMTFO_2B,,e,2250,3.45E-27,literature
C8MIMTFO_2B,,H,C8MIMTFO_2B,,e,2250,3.45E-27,literature
C2MIMTF2N_2B,,H,C2MIMTF2N_2B,,e,2250,3.45E-27,literature
C4MIMTF2N_2B,,H,C4MIMTF2N_2B,,e,2250,3.45E-27,literature
C5MIMTF2N_2B,,H,C5MIMTF2N_2B,,e,2250,3.45E-27,literature
C6MIMTF2N_2B,,H,C6MIMTF2N_2B,,e,2250,3.45E-27,literature
C8MIMTF2N_2B,,H,C8MIMTF2N_2B,,e,2250,3.45E-27,literature

C2MIMSCN,,H,C2MIMSCN,,e,2250,3.45E-27,literature
C4MIMSCN,,H,C4MIMSCN,,e,2250,3.45E-27,literature
C6MIMSCN,,H,C6MIMSCN,,e,2250,3.45E-27,literature
C2MIMTFO,,H,C2MIMTFO,,e,2250,3.45E-27,literature
C4MIMTFO,,H,C4MIMTFO,,e,2250,3.45E-27,literature
C8MIMTFO,,H,C8MIMTFO,,e,2250,3.45E-27,literature
C2MIMTF2N,,H,C2MIMTF2N,,e,2250,3.45E-27,literature
C4MIMTF2N,,H,C4MIMTF2N,,e,2250,3.45E-27,literature
C5MIMTF2N,,H,C5MIMTF2N,,e,2250,3.45E-27,literature
C6MIMTF2N,,H,C6MIMTF2N,,e,2250,3.45E-27,literature
C8MIMTF2N,,H,C8MIMTF2N,,e,2250,3.45E-27,literature

C2MIMTF2N_2BL,,H,C2MIMTF2N_2BL,,e,2250,3.45E-27,literature
C4MIMTF2N_2BL,,H,C4MIMTF2N_2BL,,e,2250,3.45E-27,literature
C5MIMTF2N_2BL,,H,C5MIMTF2N_2BL,,e,2250,3.45E-27,literature
C6MIMTF2N_2BL,,H,C6MIMTF2N_2BL,,e,2250,3.45E-27,literature

IL,,H,IL,,e,2250,3450E-30,literature

ethanol_3B,,H,ethanol_3B,,e,2380.0,150.18E-30,10.1016/j.molliq.2018.05.112
water_LJ,O,H,water_LJ,O,e,1600,496.66E-30,https://doi.org/10.1080/00268976.2015.1029027


water,O,H,water,O,e,1985.4,1.0169E-28,10.1080/00268976.2015.1029027
methanol,CO,H,methanol,CO,e,2062.1,1.0657E-28,10.1016/j.fluid.2015.12.041
methanol,CO,H,water,O,e,1993.5,1.0411E-28,10.1016/j.fluid.2015.12.042
methanol,CO,e,water,O,H,1993.5,1.0411E-28,10.1016/j.fluid.2015.12.043
water,O,e,carbon dioxide,O=C(=O),H,1398.1,9.1419E-29,10.1016/j.fluid.2015.12.044
